BNB;Binance Coin ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;12,56;14,22;12,41;14,19;93.931.696;1.618.268.715
30-05-2018;12,61;12,8;12,27;12,57;43.146.300;1.433.601.654
29-05-2018;11,96;12,68;11,77;12,57;48.807.700;1.433.692.887
28-05-2018;12,6;12,75;11,7;11,89;33.398.400;1.356.441.317
27-05-2018;12,79;12,79;12,33;12,61;36.691.600;1.437.581.695
26-05-2018;12,96;13,2;12,7;12,76;43.258.400;1.455.064.225
25-05-2018;13,03;13,37;12,64;13,01;49.173.800;1.483.449.102
24-05-2018;12,61;13,19;12,2;13;54.410.900;1.482.570.984
23-05-2018;13,85;13,93;12,33;12,63;68.215.200;1.439.908.137
22-05-2018;14,57;14,84;13,75;13,93;86.545.104;1.588.081.985
21-05-2018;14,13;14,79;13,82;14,72;97.367.296;1.678.950.085
20-05-2018;14,35;14,37;13,69;14,12;95.390.200;1.610.012.126
19-05-2018;15,13;15,62;13,99;14,25;138.320.992;1.624.598.007
18-05-2018;12,36;16,22;12,05;15,14;243.260.992;1.726.060.542
17-05-2018;12,32;12,97;12,27;12,47;54.251.500;1.421.524.681
16-05-2018;12,56;12,57;11,95;12,26;35.233.200;1.398.203.237
15-05-2018;12,85;13,27;12,51;12,57;45.696.200;1.433.248.126
14-05-2018;13,16;13,17;12,36;12,87;49.317.700;1.467.791.233
13-05-2018;13,01;13,55;12,74;13,12;70.816.496;1.496.073.473
12-05-2018;12,97;13,15;12,25;12,94;44.001.000;1.476.139.055
11-05-2018;13,88;14,09;12,59;12,99;57.027.500;1.481.841.120
10-05-2018;14,68;15,05;13,82;13,82;68.250.000;1.575.868.163
09-05-2018;13,52;14,81;13,08;14,66;99.046.304;1.671.868.121
08-05-2018;13,7;13,92;13,15;13,53;57.865.500;1.542.864.614
07-05-2018;13,94;13,97;12,99;13,7;59.800.200;1.562.650.778
06-05-2018;14,36;14,8;13,68;13,94;74.731.600;1.590.032.091
05-05-2018;14,32;14,5;14,21;14,37;71.502.096;1.638.625.085
04-05-2018;14,63;14,68;14,24;14,33;79.940.496;1.634.154.667
03-05-2018;14,44;14,78;14,21;14,65;104.726.000;1.671.001.407
02-05-2018;14,17;14,41;13,94;14,41;80.730.304;1.643.243.757
01-05-2018;14,31;14,31;13,61;14,16;75.433.904;1.615.315.046
30-04-2018;15,06;15,16;14,11;14,31;83.765.800;1.632.170.348
29-04-2018;15,16;15,4;14,56;15,06;105.495.000;1.717.028.472
28-04-2018;14,28;15,33;14,23;15,2;122.360.000;1.733.439.014
27-04-2018;14,65;14,77;14,18;14,33;101.995.000;1.634.109.050
26-04-2018;13,35;14,71;13,25;14,65;127.788.000;1.671.115.449
25-04-2018;15,21;15,93;13,05;13,29;144.820.992;1.515.711.383
24-04-2018;13,65;15,62;13,65;15,27;165.599.008;1.740.954.335
23-04-2018;12,88;13,83;12,85;13,63;132.041.000;1.553.846.790
22-04-2018;13,35;13,35;12,86;12,88;84.873.000;1.468.384.247
21-04-2018;12,57;13,67;12,44;13,38;141.582.000;1.525.689.996
20-04-2018;12,35;12,72;11,93;12,58;86.036.096;1.434.092.031
19-04-2018;12,26;12,43;12,04;12,35;78.661.696;1.408.706.440
18-04-2018;11,79;12,39;11,53;12,28;90.015.104;1.399.936.665
17-04-2018;12,23;12,46;11,67;11,77;77.537.400;1.342.197.560
16-04-2018;13,05;13,06;12,08;12,21;75.965.504;1.392.444.152
15-04-2018;13,3;13,58;12,92;13,06;115.373.000;1.489.242.399
14-04-2018;13,45;13,84;12,99;13,24;94.980.800;1.539.815.189
13-04-2018;13,15;13,76;12,75;13,54;148.215.008;1.573.810.083
12-04-2018;12,42;12,95;11,91;12,95;133.239.000;1.505.878.427
11-04-2018;12,04;12,23;11,78;12,23;92.759.696;1.421.984.054
10-04-2018;11,91;12,4;11,85;12,04;87.608.200;1.399.347.919
09-04-2018;12,12;12,55;11,61;11,87;80.643.696;1.379.827.596
08-04-2018;12,51;12,51;12,12;12,12;79.045.000;1.408.811.614
07-04-2018;12,27;12,63;12,27;12,46;87.924.896;1.448.119.662
06-04-2018;12,49;12,64;12,04;12,26;81.989.696;1.425.181.248
05-04-2018;12,2;12,62;12,14;12,45;103.864.000;1.447.875.513
04-04-2018;13,29;13,44;12;12,19;119.600.000;1.417.275.459
03-04-2018;12,64;13,95;12,33;13,36;141.287.008;1.553.336.414
02-04-2018;11,07;12,65;11,02;12,62;116.071.000;1.467.302.827
01-04-2018;11,15;11,3;10,38;11,07;87.918.096;1.286.574.163
31-03-2018;10,39;11,39;10,29;11,06;89.256.304;1.094.688.883
30-03-2018;10,17;10,75;9,74;10,35;75.551.600;1.024.834.506
29-03-2018;11,7;11,73;10,17;10,2;81.352.096;1.009.556.645
28-03-2018;11,52;12,25;11,39;11,64;92.931.200;1.152.562.566
27-03-2018;12,12;12,23;10,88;11,51;102.579.000;1.139.482.816
26-03-2018;12,91;12,91;10,96;12,06;132.353.000;1.194.247.460
25-03-2018;13,14;14,23;12,57;12,78;189.518.000;1.265.705.863
24-03-2018;11,71;14,84;11,6;13,09;255.358.000;1.296.004.147
23-03-2018;10,05;11,98;9,54;11,74;157.246.000;1.162.186.726
22-03-2018;10,03;10,91;9,57;10,07;112.305.000;996.704.628
21-03-2018;9,17;10,29;9,08;9,98;131.761.000;988.357.748
20-03-2018;8,99;9,24;8,66;9,16;96.919.504;907.060.323
19-03-2018;9,09;9,26;8,5;8,99;97.938.896;890.407.158
18-03-2018;8,96;8,96;7,86;8,95;94.840.304;886.358.476
17-03-2018;9,2;9,5;8,66;8,99;94.679.904;889.912.088
16-03-2018;9,13;9,39;8,64;9,11;97.626.000;902.148.238
15-03-2018;8,94;9,4;8,42;9,1;104.531.000;900.936.307
14-03-2018;10,13;10,67;8,55;8,96;124.112.000;887.087.219
13-03-2018;8;11;7,9;10,12;216.111.008;1.001.546.413
12-03-2018;8,3;8,55;7,74;8,04;51.188.100;796.000.280
11-03-2018;7,65;8,42;7,38;8,27;45.451.700;819.081.433
10-03-2018;8,27;8,35;7,63;7,67;41.645.000;759.601.743
09-03-2018;8,26;8,33;7,17;8,31;46.893.300;823.110.313
08-03-2018;9,04;9,14;8,12;8,31;48.535.100;822.849.906
07-03-2018;9,4;10,13;8,24;9,03;79.740.800;894.579.608
06-03-2018;10,15;10,15;9,15;9,38;38.182.600;929.185.001
05-03-2018;10,4;10,44;10,1;10,11;38.605.100;1.001.081.047
04-03-2018;10,21;10,39;9,9;10,35;37.886.900;1.024.606.773
03-03-2018;10,29;10,45;10,13;10,22;40.001.900;1.011.715.151
02-03-2018;10,46;10,54;10,14;10,22;46.449.100;1.012.398.347
01-03-2018;10,45;10,67;10,33;10,51;72.474.200;1.040.607.436
