USDT;Tether ;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;1;1,01;0,994691;0,998003;2.613.339.904;2.502.134.053
30-05-2018;0,999487;1,01;0,995158;0,999727;2.429.060.096;2.506.456.364
29-05-2018;0,99927;1,01;0,98579;1;3.003.919.872;2.508.845.669
28-05-2018;1;1,01;0,987478;1;2.582.710.016;2.513.383.594
27-05-2018;1;1,01;0,991551;0,999182;1.885.900.032;2.505.089.972
26-05-2018;1;1,01;0,982905;0,99989;1.872.140.032;2.506.865.028
25-05-2018;0,999292;1,01;0,990553;1;2.375.610.112;2.508.243.955
24-05-2018;1;1,01;0,993728;0,998818;3.122.710.016;2.504.177.373
23-05-2018;1;1,01;0,996053;1;3.360.600.064;2.517.219.520
22-05-2018;1;1,01;0,996062;1;2.417.590.016;2.514.587.022
21-05-2018;0,999592;1,01;0,996845;1;2.406.449.920;2.514.587.022
20-05-2018;1;1;0,990756;0,999117;2.610.939.904;2.504.927.008
19-05-2018;1;1,01;0,99425;1;2.569.299.968;2.508.043.384
18-05-2018;1;1;0,993732;1;3.051.709.952;2.509.923.740
17-05-2018;1;1,01;0,996747;1;3.026.749.952;2.307.579.170
16-05-2018;1;1,01;0,990384;0,99995;3.238.190.080;2.307.025.456
15-05-2018;1;1,01;0,993853;1;3.315.440.128;2.209.656.954
14-05-2018;1;1,01;0,989507;1;3.820.280.064;2.209.943.882
13-05-2018;1;1,01;0,993248;1;3.179.099.904;2.214.314.021
12-05-2018;0,99975;1,02;0,984735;1;4.539.990.016;2.209.568.668
11-05-2018;1;1,01;0,982996;1;4.733.060.096;2.111.881.880
10-05-2018;0,999422;1,01;0,995984;1;3.430.200.064;2.109.964.382
09-05-2018;1;1,01;0,993117;1;3.236.689.920;2.108.215.455
08-05-2018;0,998745;1,01;0,994675;1;3.317.769.984;2.111.607.952
07-05-2018;0,995351;1,01;0,99085;0,997237;4.137.240.064;2.151.180.633
06-05-2018;0,995906;1,01;0,992321;0,997202;3.948.859.904;2.190.993.214
05-05-2018;0,999448;1;0,992373;0,996284;3.848.780.032;2.258.716.118
04-05-2018;1,01;1,01;0,992204;0,998561;3.844.979.968;2.263.878.398
03-05-2018;0,996267;1,01;0,99392;0,997973;4.307.829.760;2.312.443.969
02-05-2018;1;1;0,992736;0,997464;3.711.889.920;2.311.264.544
01-05-2018;1;1,01;0,993633;1;3.901.110.016;2.425.576.635
30-04-2018;0,997553;1,01;0,992921;0,998919;4.498.440.192;2.414.527.884
29-04-2018;0,998866;1,01;0,992304;0,998016;5.167.799.808;2.412.345.206
28-04-2018;1;1,01;0,991015;0,999335;4.066.050.048;2.415.533.415
27-04-2018;1;1,01;0,995122;1;4.060.179.968;2.427.171.948
26-04-2018;1;1,01;0,992381;0,999614;4.206.320.128;2.416.207.797
25-04-2018;1,01;1,02;0,986074;0,991809;6.126.580.224;2.397.342.013
24-04-2018;0,998974;1,01;0,990297;1;5.033.249.792;2.298.027.604
23-04-2018;0,99513;1;0,98878;0,997847;3.075.480.064;2.282.216.599
22-04-2018;1;1,01;0,989191;0,996196;3.176.019.968;2.278.440.530
21-04-2018;0,997071;1,01;0,993816;0,999014;3.570.040.064;2.284.885.693
20-04-2018;0,99755;1;0,988285;0,998338;3.458.870.016;2.283.339.585
19-04-2018;0,997907;1;0,992889;0,997185;2.217.799.936;2.280.702.512
18-04-2018;1;1,01;0,983284;0,997609;2.112.089.984;2.281.672.260
17-04-2018;0,997217;1,01;0,99132;0,998556;2.075.650.048;2.283.838.182
16-04-2018;0,998884;1,01;0,995754;0,997592;2.125.180.032;2.281.633.378
15-04-2018;0,996308;1,01;0,986564;0,998602;2.057.859.968;2.283.943.391
14-04-2018;1;1,01;0,993994;0,999766;2.060.220.032;2.286.605.623
13-04-2018;0,995839;1,01;0,989434;0,998895;3.218.919.936;2.284.613.523
12-04-2018;0,996408;1,02;0,986025;0,996831;3.636.590.080;2.279.892.864
11-04-2018;0,997593;1;0,992521;1;1.741.699.968;2.287.712.599
10-04-2018;0,996953;1;0,991744;0,997356;1.253.949.952;2.281.093.613
09-04-2018;0,997541;1,01;0,993393;0,997555;1.678.770.048;2.281.548.754
08-04-2018;1;1,01;0,995091;0,996809;1.090.880.000;2.279.842.547
07-04-2018;1;1,01;0,98652;0,999644;1.332.259.968;2.286.326.591
06-04-2018;1;1,01;0,991376;1;1.257.110.016;2.289.633.797
05-04-2018;1;1,01;0,987434;1;1.609.469.952;2.292.927.280
04-04-2018;1;1,01;0,99427;1;1.772.329.984;2.289.039.140
03-04-2018;0,997587;1,01;0,995073;1;1.753.520.000;2.287.987.056
02-04-2018;1;1,01;0,98806;1;1.550.880.000;2.287.438.142
01-04-2018;0,995702;1,01;0,980778;0,99981;1.832.530.048;2.286.706.257
31-03-2018;0,997014;1,01;0,993569;1;1.763.719.936;2.288.901.912
30-03-2018;0,995897;1,01;0,979633;0,998943;2.596.849.920;2.284.723.306
29-03-2018;1;1,01;0,982472;0,998623;2.486.609.920;2.283.991.421
28-03-2018;1;1,01;0,993721;0,999204;1.857.049.984;2.285.320.249
27-03-2018;1;1,01;0,989473;1;2.051.079.936;2.290.823.110
26-03-2018;0,9966;1,01;0,983682;1;2.183.960.064;2.294.939.964
25-03-2018;1;1,01;0,994482;0,999686;1.511.320.064;2.286.422.651
24-03-2018;1;1,01;0,994299;1,01;1.785.500.032;2.307.953.795
23-03-2018;0,999221;1,01;0,990235;0,990235;1.995.699.968;2.264.806.883
22-03-2018;0,99946;1,01;0,993468;0,998982;2.171.849.984;2.284.812.504
21-03-2018;0,996938;1,01;0,992647;0,999244;2.353.890.048;2.215.464.655
20-03-2018;1,01;1,01;0,98957;0,996832;2.506.319.872;2.210.116.911
19-03-2018;0,982194;1,02;0,982194;0,989867;2.638.089.984;2.194.674.526
18-03-2018;1,01;1,01;0,979781;1;2.639.470.080;2.223.969.607
17-03-2018;1;1,01;0,990731;1;1.687.920.000;2.220.732.582
16-03-2018;0,997509;1,01;0,989567;0,998551;1.872.050.048;2.213.928.176
15-03-2018;1;1,01;0,984939;1;2.259.869.952;2.219.978.754
