TRX;Tron;;;;;
Date;Open;High;Low;Close;Volume;Cap
31-05-2018;0,062436;0,064002;0,059449;0,060541;371.256.992;3.980.463.002
30-05-2018;0,06511;0,068083;0,060278;0,062402;463.945.984;4.102.839.962
29-05-2018;0,061097;0,065944;0,057386;0,065009;569.742.976;4.274.245.289
28-05-2018;0,070651;0,07075;0,060207;0,060654;493.598.016;3.987.853.090
27-05-2018;0,072981;0,073451;0,06938;0,070601;311.443.008;4.641.902.155
26-05-2018;0,071067;0,076325;0,070482;0,073162;334.004.992;4.810.276.494
25-05-2018;0,073201;0,073279;0,069467;0,071279;301.519.008;4.686.446.500
24-05-2018;0,070087;0,074387;0,0687;0,073095;587.902.016;4.805.845.071
23-05-2018;0,075072;0,076696;0,067811;0,069848;608.060.032;4.592.367.527
22-05-2018;0,082253;0,083211;0,074271;0,074829;498.436.000;4.919.885.171
21-05-2018;0,0777;0,084728;0,077381;0,082378;802.233.024;5.416.165.067
20-05-2018;0,069269;0,078197;0,068474;0,077269;470.467.008;5.080.290.839
19-05-2018;0,069481;0,070564;0,067618;0,069144;206.880.992;4.546.074.282
18-05-2018;0,067023;0,06953;0,064977;0,069387;263.304.992;4.562.044.498
17-05-2018;0,071912;0,073442;0,066256;0,067437;304.225.984;4.433.848.830
16-05-2018;0,068191;0,072183;0,064071;0,071954;492.396.000;4.730.852.775
15-05-2018;0,072839;0,073619;0,067555;0,068566;287.628.000;4.508.052.149
14-05-2018;0,076108;0,076108;0,070672;0,072812;463.712.000;4.787.264.655
13-05-2018;0,069153;0,077011;0,067982;0,075613;601.064.000;4.971.405.391
12-05-2018;0,066182;0,071636;0,060636;0,068731;615.174.016;4.518.920.312
11-05-2018;0,073601;0,077209;0,063906;0,065933;836.388.992;4.334.983.395
10-05-2018;0,081007;0,081609;0,073156;0,073574;352.612.992;4.837.338.417
09-05-2018;0,082979;0,082979;0,078888;0,081006;357.911.008;5.326.004.682
08-05-2018;0,083405;0,086035;0,08076;0,083071;372.063.008;5.461.761.382
07-05-2018;0,084966;0,084966;0,079717;0,083086;412.406.016;5.462.760.754
06-05-2018;0,087098;0,087098;0,081907;0,084778;388.707.008;5.573.993.409
05-05-2018;0,086212;0,090875;0,086187;0,087102;476.743.008;5.726.805.170
04-05-2018;0,087085;0,088867;0,081083;0,08681;727.056.000;5.707.626.446
03-05-2018;0,091322;0,091438;0,084533;0,08734;789.150.976;5.742.466.370
02-05-2018;0,092764;0,093038;0,090173;0,091397;401.505.984;6.009.173.585
01-05-2018;0,093745;0,094279;0,086773;0,09336;1.043.369.984;6.138.270.002
30-04-2018;0,089656;0,101197;0,086102;0,093777;1.749.639.936;6.165.640.941
29-04-2018;0,081696;0,090331;0,080684;0,089145;1.161.459.968;5.861.128.562
28-04-2018;0,073807;0,084223;0,073807;0,081662;718.297.984;5.369.128.868
27-04-2018;0,074894;0,079154;0,07184;0,074037;717.529.984;4.867.786.367
26-04-2018;0,069983;0,074566;0,06675;0,074566;759.337.024;4.902.567.118
